location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2027,245.7518612911478,242.70817073989787,248.79555184239774
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2028,246.5499416765058,242.56752855935557,250.53235479365603
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2029,247.645763565123,242.86027430425943,252.43125282598655
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,ARIMA,2030,248.9609242124238,243.54208744668884,254.37976097815877
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2024,332.81852616795953,332.4007164311745,333.2363359047446
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2025,338.328795906874,336.7786994325722,339.87889238117583
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2026,343.3084852141733,339.9292003377011,346.6877700906455
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2027,346.7986747722341,341.2320060276732,352.365343516795
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2028,348.8136309423432,341.12133586527386,356.5059260194125
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2029,350.11279499834234,340.61966325174916,359.6059267449355
Central Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,ARIMA,2030,351.5308275762163,340.59502276694633,362.4666323854863
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2024,0.7138844156628702,0.7101631412886545,0.7176056900370859
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2025,0.7238005107092056,0.7154568844527585,0.7321441369656527
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2026,0.733716605755541,0.7197106614113467,0.7477225500997353
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2027,0.7436327008018764,0.7230620598416424,0.7642033417621104
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2028,0.7535487958482118,0.7256019146489426,0.7814956770474809
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2029,0.7634648908945472,0.7273945004965584,0.7995352812925359
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,ETS,2030,0.7733809859408827,0.7284878545628785,0.8182741173188869
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2024,0.7099794441322147,0.7072885372584556,0.7126703510059738
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2025,0.7189571902794887,0.711567809605534,0.7263465709534433
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2026,0.7273862407442424,0.7145759396175081,0.7401965418709767
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2027,0.7353463035744012,0.7167167494061811,0.7539758577426213
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2028,0.7429055077712411,0.7182546682638233,0.7675563472786588
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2029,0.7501220853569444,0.7193732180335495,0.7808709526803392
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,ARIMA,2030,0.7570458090911865,0.7202047835097727,0.7938868346726002
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2024,0.7174725372818765,0.7135253265340704,0.7214197480296827
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2025,0.7271509039994665,0.7183717914046148,0.7359300165943181
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2026,0.7366356800288715,0.7220126421385966,0.7512587179191463
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2027,0.7459307376509883,0.7246173489567429,0.7672441263452336
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2028,0.7550398716917518,0.7263026431508929,0.7837771002326107
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2029,0.7639668010714215,0.7271549388503284,0.8007786632925145
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,ETS,2030,0.7727151703228777,0.7272418543619705,0.8181884862837849
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2024,285.9908737998837,285.6528948221154,286.32885277765195
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2025,287.9665821890704,287.01047362495285,288.9226907531879
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2026,289.8699800919913,288.0027070457296,291.737253138253
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2027,291.5344500220262,288.63669371335845,294.43220633069393
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2028,293.067146748306,289.2048862385167,296.92940725809535
